date,ondo,price
2021-01-04,-1.7,755
2021-01-05,-1.7,795
2021-01-06,-4.8,829
2021-01-07,-10.6,811
2021-01-08,-13.9,751
2021-01-11,-5.2,749
2021-01-12,-3.7,801
2021-01-13,2.0,809
2021-01-14,3.8,799
2021-01-15,6.4,779
2021-01-18,-1.6,721
2021-01-19,-4.5,696
2021-01-20,-0.7,676
2021-01-21,4.9,676
2021-01-22,7.9,670
2021-01-25,8.3,655
2021-01-26,5.5,641
2021-01-27,4.0,641
2021-01-28,-1.0,645
2021-01-29,-5.3,620
2021-02-01,7.4,622
2021-02-02,-2.0,592
2021-02-03,-1.9,559
2021-02-04,-0.3,575
2021-02-05,-0.1,549
2021-02-08,-1.3,555
2021-02-09,-1.0,549
2021-02-10,1.1,522
2021-02-15,2.8,472
2021-02-16,-1.2,467
2021-02-17,-6.4,493
2021-02-18,-4.6,507
2021-02-19,1.0,502
2021-02-22,9.2,502
2021-02-23,2.4,502
2021-02-24,2.5,459
2021-02-25,3.3,447
2021-02-26,9.0,445
2021-03-02,3.6,459
2021-03-03,3.8,453
2021-03-04,5.3,463
2021-03-05,9.5,473
2021-03-08,7.6,463
2021-03-09,8.1,429
2021-03-10,9.0,439
2021-03-11,10.4,445
2021-03-12,8.4,429
2021-03-15,10.5,422
2021-03-16,11.0,432
2021-03-17,8.7,459
2021-03-18,11.1,492
2021-03-19,13.5,492
2021-03-22,5.5,463
2021-03-23,7.4,463
2021-03-24,7.7,453
2021-03-25,11.6,413
2021-03-26,13.2,403
2021-03-29,12.0,423
2021-03-30,12.3,443
2021-03-31,13.1,433
2021-04-01,15.0,443
2021-04-02,18.1,492
2021-04-05,11.1,492
2021-04-06,10.7,492
2021-04-07,12.4,473
2021-04-08,11.4,453
2021-04-09,11.0,463
2021-04-12,13.0,473
2021-04-13,10.1,463
2021-04-14,8.4,463
2021-04-15,9.7,507
2021-04-16,11.1,496
2021-04-19,10.8,466
2021-04-20,14.9,461
2021-04-21,18.3,461
2021-04-22,19.3,471
2021-04-23,19.6,471
2021-04-26,15.4,502
2021-04-27,14.6,522
2021-04-28,16.3,493
2021-04-29,16.2,493
2021-04-30,14.7,493
2021-05-03,14.4,493
2021-05-04,16.3,512
2021-05-06,14.0,492
2021-05-07,13.6,492
2021-05-10,15.1,512
2021-05-11,17.3,502
2021-05-12,21.2,502
2021-05-13,22.1,512
2021-05-14,22.7,492
2021-05-17,,492
2021-05-18,17.9,463
2021-05-20,15.9,453
2021-05-21,15.6,453
2021-05-24,19.3,476
2021-05-25,15.4,472
2021-05-26,17.0,453
2021-05-27,15.5,453
2021-05-28,16.6,453
2021-05-31,21.2,439
2021-06-01,22.2,428
2021-06-02,22.1,409
2021-06-03,18.0,490
2021-06-04,18.7,487
2021-06-07,22.7,535
2021-06-08,24.3,540
2021-06-09,24.9,540
2021-06-10,23.5,545
2021-06-11,23.3,565
2021-06-14,23.6,507
2021-06-15,20.7,468
2021-06-16,21.6,458
2021-06-17,21.6,458
2021-06-18,21.0,487
2021-06-21,22.7,537
2021-06-22,21.8,517
2021-06-23,21.3,527
2021-06-24,22.4,527
2021-06-25,23.2,507
2021-06-28,23.9,492
2021-06-29,22.2,548
2021-06-30,23.0,548
2021-07-01,24.7,552
2021-07-02,25.4,572
2021-07-05,21.3,752
2021-07-06,22.2,732
2021-07-07,23.9,792
2021-07-08,24.7,792
2021-07-09,25.3,752
2021-07-12,27.5,703
2021-07-13,27.6,559
2021-07-14,27.5,522
2021-07-15,27.1,473
2021-07-16,26.1,498
2021-07-19,26.0,566
2021-07-20,26.3,582
2021-07-21,27.3,546
2021-07-22,27.4,510
2021-07-23,27.8,516
2021-07-26,26.9,572
2021-07-27,27.4,612
2021-07-28,28.2,746
2021-07-29,27.9,686
2021-07-30,28.1,700
2021-08-02,26.8,762
2021-08-03,26.6,788
2021-08-04,26.8,736
2021-08-05,27.8,782
2021-08-06,27.3,762
2021-08-09,26.9,746
2021-08-10,25.2,764
2021-08-11,25.4,768
2021-08-12,24.4,692
2021-08-13,25.0,648
2021-08-17,25.5,578
2021-08-18,23.7,586
2021-08-19,22.2,638
2021-08-20,23.8,636
2021-08-23,22.7,624
2021-08-24,24.7,602
2021-08-25,24.4,639
2021-08-26,25.2,599
2021-08-27,22.3,559
2021-08-30,24.8,599
2021-08-31,25.6,592
2021-09-01,24.6,612
2021-09-02,21.7,650
2021-09-03,21.5,635
2021-09-06,19.3,587
2021-09-07,21.3,589
2021-09-08,21.2,604
2021-09-09,21.4,584
2021-09-10,20.8,533
2021-09-13,23.4,541
2021-09-14,21.9,516
2021-09-15,22.9,542
2021-09-16,22.0,623
2021-09-17,21.6,605
2021-09-23,19.5,605
2021-09-24,19.7,640
2021-09-27,21.9,518
2021-09-28,21.5,438
2021-09-29,21.8,439
2021-09-30,22.0,480
2021-10-01,20.9,453
2021-10-05,21.8,437
2021-10-06,21.1,448
2021-10-07,20.7,505
2021-10-08,20.8,546
2021-10-12,16.4,484
2021-10-13,18.7,449
2021-10-14,19.1,431
2021-10-15,17.0,411
2021-10-18,8.1,421
2021-10-19,9.7,596
2021-10-20,8.1,716
2021-10-21,8.4,636
2021-10-22,8.6,638
2021-10-25,10.1,544
2021-10-26,10.2,534
2021-10-27,11.6,570
2021-10-28,10.7,597
2021-10-29,12.1,602
2021-11-01,12.2,584
2021-11-02,9.2,573
2021-11-03,9.0,592
2021-11-04,10.3,581
2021-11-05,10.6,556
2021-11-08,10.6,572
2021-11-09,6.5,660
2021-11-10,5.7,684
2021-11-11,6.1,712
2021-11-12,4.4,748
2021-11-15,7.1,664
2021-11-16,7.5,637
2021-11-17,6.3,586
2021-11-18,7.4,590
2021-11-19,8.2,566
2021-11-22,5.1,572
2021-11-23,1.8,630
2021-11-24,4.7,597
2021-11-25,5.6,614
2021-11-26,3.5,604
2021-11-29,4.9,606
2021-11-30,6.0,612
2021-12-01,0.2,574
2021-12-02,1.3,596
2021-12-06,5.6,578
2021-12-07,4.8,574
2021-12-08,4.1,568
2021-12-09,4.2,566
2021-12-10,6.7,545
2021-12-13,-2.1,552
2021-12-14,-0.2,570
2021-12-15,4.6,561
2021-12-16,4.5,518
2021-12-17,-1.5,538
2021-12-20,2.3,546
2021-12-21,3.6,544
2021-12-22,2.1,526
2021-12-23,1.6,521
2021-12-24,1.3,544
2021-12-27,-3.9,568
2021-12-28,1.7,578
2021-12-29,2.6,578
2021-12-30,-0.3,576
2021-12-31,-4.4,590
